"","R1_1","R1_2","R1_3","R1_4","R2_1","R2_2","R2_3","R2_4","R3_1","R3_2","R3_3","R3_4","R5_1","R5_2","R5_3","R5_4.","R6_1","R6_2","R6_3","R6_4","B1_1","B1_2","B1_3","B1_4","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B5_1","B5_2","B5_3","B5_4.","B6_1","B6_2","B6_3","B6_4","BlkRacismMini_8","BlkRacismMini_9","BlkRacismMini_10","NtvRacismMini_8","NtvRacismMini_9","NtvRacismMini_10","NtvContemporaryInvis_1","NtvContemporaryInvis_2","NtvContemporaryInvis_3","BlkContemporaryInvis_1","BlkContemporaryInvis_2","BlkContemporaryInvis_3","Target"
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,7,3,5,5,7,5,4,5,7,6,4,6,7,7,4,4,1,3,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,4,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"92",1,5,1,2,1,5,1,3,2,7,1,3,1,6,1,3,3,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,1
"93",6,5,4,7,6,4,4,7,6,5,4,7,6,4,4,7,6,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,6,1,NA,NA,NA,1
"94",1,1,1,1,3,3,3,3,1,2,3,1,1,4,4,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,5,1,NA,NA,NA,1
"95",1,3,1,2,5,7,6,6,2,4,1,2,2,5,1,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,3,1,2,2,4,1,1,1,2,2,2,2,3,1,2,1,NA,NA,NA,NA,NA,NA,2,2,2,0
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,2,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,3,3,7,3,4,3,7,4,3,4,6,3,4,3,2,2,2,NA,NA,NA,NA,NA,NA,2,2,3,0
"99",1,2,1,3,2,2,1,3,1,4,1,3,2,5,1,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,4,NA,NA,NA,1
"100",3,4,2,3,4,4,3,3,3,4,3,2,3,4,3,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,4,5,2,NA,NA,NA,1
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,4,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"102",1,3,1,2,1,6,1,3,2,5,1,3,1,4,1,2,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,2,1,NA,NA,NA,1
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,3,2,3,NA,NA,NA,NA,NA,NA,1,1,2,0
"104",6,6,6,6,6,7,7,7,6,6,6,6,7,6,7,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,3,2,2,NA,NA,NA,1
"105",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,4,4,NA,NA,NA,1
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,1,1,2,0
"107",2,6,2,6,3,5,3,5,5,2,6,2,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,1
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,7,7,4,4,7,7,4,4,7,7,4,4,7,7,4,4,7,7,7,7,NA,NA,NA,NA,NA,NA,3,3,1,0
"109",6,1,2,7,6,1,1,7,6,1,2,7,6,1,2,7,7,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,1,3,1,NA,NA,NA,1
"110",2,3,1,3,2,3,1,3,3,4,3,4,1,3,1,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,1,NA,NA,NA,1
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,4,3,2,2,6,4,4,4,4,3,2,2,4,4,4,4,5,7,6,NA,NA,NA,NA,NA,NA,4,2,2,0
"112",4,3,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,NA,NA,NA,1
"113",3,4,2,3,2,3,2,3,2,5,2,3,2,3,2,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,4,2,NA,NA,NA,1
"114",4,5,4,5,5,5,5,6,4,6,4,6,4,5,4,5,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,4,2,NA,NA,NA,1
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,7,4,4,1,7,4,4,1,7,6,6,1,7,4,3,1,7,7,7,7,NA,NA,NA,NA,NA,NA,1,3,1,0
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,4,NA,NA,NA,NA,NA,NA,1,2,2,0
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,2,2,2,6,2,2,2,6,2,2,2,6,2,2,2,6,3,3,5,NA,NA,NA,NA,NA,NA,2,2,2,0
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,2,2,2,2,2,3,2,2,2,2,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,7,NA,NA,NA,NA,NA,NA,1,1,1,0
"122",4,3,4,6,5,3,5,6,6,5,6,6,6,3,5,6,5,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,3,3,5,NA,NA,NA,1
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,3,6,3,5,2,3,4,3,4,6,4,5,3,2,5,2,6,5,4,5,NA,NA,NA,NA,NA,NA,6,3,6,0
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,6,3,3,2,6,5,6,2,6,2,2,1,6,5,5,2,6,2,1,2,NA,NA,NA,NA,NA,NA,2,2,3,0
"125",5,6,4,6,5,6,4,6,5,6,4,6,5,6,4,6,5,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,3,NA,NA,NA,1
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,2,1,1,1,7,2,2,2,2,1,1,1,1,6,5,5,NA,NA,NA,NA,NA,NA,3,3,4,0
"127",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,1,2,1,NA,NA,NA,1
"128",4,6,4,7,4,6,4,7,6,6,4,7,4,6,4,7,2,5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,4,4,NA,NA,NA,1
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,2,2,3,NA,NA,NA,NA,NA,NA,1,1,1,0
"130",1,2,1,2,6,6,3,6,6,6,2,6,5,4,1,2,6,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,6,6,1,NA,NA,NA,1
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,5,2,5,NA,NA,NA,NA,NA,NA,1,1,1,0
"132",6,2,2,6,6,3,4,6,6,2,4,6,6,2,3,6,5,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,2,4,NA,NA,NA,1
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,NA,NA,NA,NA,NA,NA,1,2,2,0
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,5,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"135",1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,3,2,NA,NA,NA,1
"136",4,3,3,3,2,2,2,2,3,4,5,5,2,3,3,3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,3,2,NA,NA,NA,1
"137",5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,6,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,5,5,NA,NA,NA,1
"138",1,3,1,2,7,6,4,5,2,3,2,2,2,3,1,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,NA,NA,NA,1
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,4,3,2,4,4,4,1,4,4,3,2,4,4,2,2,4,4,7,7,7,NA,NA,NA,NA,NA,NA,2,2,2,0
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2,3,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,3,5,NA,NA,NA,NA,NA,NA,2,2,2,0
"142",1,2,1,7,7,6,4,7,7,7,4,7,2,3,1,7,2,3,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,7,7,7,NA,NA,NA,1
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,7,4,3,4,7,4,3,4,7,4,2,4,7,4,2,2,7,5,4,5,NA,NA,NA,NA,NA,NA,3,3,4,0
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,7,7,1,1,7,2,2,1,7,3,1,1,7,3,1,1,7,3,3,3,NA,NA,NA,NA,NA,NA,1,3,1,0
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,2,1,0
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,7,3,3,2,5,4,3,2,6,4,3,2,4,4,4,4,4,1,2,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,3,5,1,4,4,1,2,2,6,4,2,3,2,1,1,1,6,6,6,5,NA,NA,NA,NA,NA,NA,1,2,2,0
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,3,3,4,2,2,3,3,3,3,2,3,5,5,5,5,5,6,6,NA,NA,NA,NA,NA,NA,2,2,3,0
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,2,6,5,3,3,NA,NA,NA,NA,NA,NA,3,3,3,0
"151",3,2,1,3,4,3,3,3,4,3,5,5,2,2,2,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,1
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,1,1,2,2,1,1,1,4,5,3,4,1,1,1,1,2,3,2,NA,NA,NA,NA,NA,NA,2,1,4,0
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,5,5,3,5,3,4,3,2,5,3,2,2,3,6,5,4,5,6,7,7,NA,NA,NA,NA,NA,NA,1,2,2,0
"154",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,1,NA,NA,NA,1
"155",2,2,2,2,2,2,2,2,5,2,4,3,4,2,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,6,2,NA,NA,NA,1
"156",5,2,3,3,6,5,4,6,6,3,4,3,6,2,6,3,5,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,3,2,2,NA,NA,NA,1
"157",6,4,5,2,6,3,6,2,5,4,6,3,6,3,7,3,6,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,5,3,6,NA,NA,NA,1
"158",2,2,2,2,4,4,4,4,7,7,7,6,7,7,7,7,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,2,2,NA,NA,NA,1
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,4,4,2,3,2,2,1,2,2,2,1,3,2,4,2,4,1,1,3,NA,NA,NA,NA,NA,NA,2,2,1,0
"160",3,2,1,3,2,3,1,2,3,4,3,3,3,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,4,2,NA,NA,NA,1
"161",6,4,4,7,6,4,4,7,6,4,4,7,6,4,4,7,6,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,4,3,NA,NA,NA,1
"162",6,6,4,6,3,3,2,5,6,6,3,6,6,6,3,6,6,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,NA,NA,NA,1
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,5,3,4,3,1,1,1,2,3,2,2,2,4,2,3,3,1,1,3,NA,NA,NA,NA,NA,NA,1,1,1,0
"164",6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,3,1,NA,NA,NA,1
"165",5,1,4,7,5,1,4,7,5,1,4,7,5,1,4,7,5,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,4,5,2,NA,NA,NA,1
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,5,4,2,3,5,4,2,3,5,4,2,3,5,4,1,3,5,3,3,3,NA,NA,NA,NA,NA,NA,2,1,3,0
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,3,3,3,3,5,4,3,3,5,5,4,5,1,1,1,1,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,0
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"169",6,5,2,7,6,5,2,7,6,6,2,7,6,5,2,7,6,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,5,6,1,NA,NA,NA,1
"170",5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,4,4,3,NA,NA,NA,1
"171",2,2,2,2,3,3,3,3,4,3,3,3,4,3,3,5,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,NA,NA,NA,1
"172",5,2,2,5,3,2,1,2,6,5,3,5,6,3,3,4,5,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,2,NA,NA,NA,1
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,7,3,3,4,6,3,4,4,7,2,4,3,7,3,4,4,1,2,1,NA,NA,NA,NA,NA,NA,3,1,3,0
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,5,0
"175",6,6,5,7,6,6,6,6,7,7,6,7,6,6,6,7,6,6,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,3,2,NA,NA,NA,1
"176",6,6,2,3,6,6,2,3,6,6,4,5,6,6,2,3,7,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,3,2,2,NA,NA,NA,1
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,6,NA,NA,NA,NA,NA,NA,2,2,2,0
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"179",1,3,2,5,1,2,1,5,1,4,2,5,1,3,1,5,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,NA,NA,NA,1
"180",7,6,3,6,2,2,5,4,7,7,4,2,7,7,1,7,7,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,7,7,4,NA,NA,NA,1
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,4,2,2,2,4,2,1,2,4,4,1,4,4,2,1,2,4,2,2,3,NA,NA,NA,NA,NA,NA,2,2,4,0
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,4,4,4,4,4,7,4,4,4,7,7,4,7,7,7,4,7,1,2,1,NA,NA,NA,NA,NA,NA,1,1,1,0
