"","R1_1","R1_2","R1_3","R1_4","R2_1","R2_2","R2_3","R2_4","R3_1","R3_2","R3_3","R3_4","R5_1","R5_2","R5_3","R5_4.","R6_1","R6_2","R6_3","R6_4","B1_1","B1_2","B1_3","B1_4","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B5_1","B5_2","B5_3","B5_4.","B6_1","B6_2","B6_3","B6_4","BlkRacismMini_8","BlkRacismMini_9","BlkRacismMini_10","NtvRacismMini_8","NtvRacismMini_9","NtvRacismMini_10","NtvContemporaryInvis_1","NtvContemporaryInvis_2","NtvContemporaryInvis_3","BlkContemporaryInvis_1","BlkContemporaryInvis_2","BlkContemporaryInvis_3","Target"
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,3,2,2,3,3,2,3,1,3,2,2,2,3,1,3,2,2,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"184",3,2,2,3,4,3,2,4,2,2,2,2,3,2,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,5,3,NA,NA,NA,1
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,5,4,1,5,2,5,1,2,2,2,1,2,1,6,3,5,4,3,2,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,NA,NA,NA,NA,NA,NA,1,1,1,0
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,7,7,4,4,7,7,4,4,7,7,4,4,7,7,6,4,7,1,1,1,NA,NA,NA,NA,NA,NA,2,1,3,0
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,1,3,3,4,NA,NA,NA,NA,NA,NA,1,2,1,0
"189",3,4,3,4,4,5,3,4,3,5,4,4,4,5,3,5,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,4,5,NA,NA,NA,1
"190",6,4,2,2,6,3,3,3,5,3,3,3,5,3,2,3,6,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,NA,NA,NA,1
"191",5,7,1,7,3,7,1,7,1,7,1,5,7,7,1,5,7,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,1,3,1,NA,NA,NA,1
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,3,1,2,2,NA,NA,NA,NA,NA,NA,4,3,2,0
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"194",5,2,2,3,4,2,2,3,5,4,3,3,4,3,3,6,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,4,2,NA,NA,NA,1
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,5,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,6,4,6,4,6,4,6,4,4,6,2,5,5,4,5,7,7,7,NA,NA,NA,NA,NA,NA,1,2,4,0
"197",5,5,5,6,7,7,7,7,7,7,7,7,5,3,5,6,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,3,2,2,NA,NA,NA,1
"198",3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,1
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,7,1,1,5,5,2,NA,NA,NA,NA,NA,NA,1,2,2,0
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,3,2,NA,NA,NA,NA,NA,NA,2,2,1,0
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,2,6,2,2,2,6,1,3,3,6,2,2,2,6,4,3,5,2,2,1,NA,NA,NA,NA,NA,NA,2,2,2,0
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,2,2,2,5,2,1,2,3,2,1,4,3,2,1,2,4,3,1,4,NA,NA,NA,NA,NA,NA,2,2,2,0
"203",3,3,2,4,5,3,3,4,2,3,2,4,5,3,2,4,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,2,NA,NA,NA,1
"204",4,3,3,4,4,4,3,3,4,3,3,4,4,3,3,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,NA,NA,NA,1
"205",5,1,2,7,4,1,1,7,4,3,4,7,4,2,4,7,4,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,1,NA,NA,NA,1
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,4,5,4,5,4,4,4,6,5,4,3,5,4,4,5,3,4,3,NA,NA,NA,NA,NA,NA,4,4,3,0
"207",5,6,1,6,3,3,2,3,5,5,4,5,3,5,2,6,3,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,5,6,2,NA,NA,NA,1
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2,5,4,5,NA,NA,NA,NA,NA,NA,2,3,3,0
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,4,6,3,3,3,5,3,2,5,3,2,2,2,3,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,2,3,2,0
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,3,3,2,2,2,3,2,3,4,4,2,2,4,4,2,3,2,NA,NA,NA,NA,NA,NA,1,2,2,0
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"212",3,1,2,2,6,5,3,5,6,5,3,5,6,5,3,5,6,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,5,5,2,NA,NA,NA,1
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,5,3,3,3,1,2,1,3,1,2,2,3,1,2,1,3,1,2,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,1,1,2,2,1,1,1,4,1,1,2,3,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,2,2,1,0
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,5,3,3,7,5,5,5,6,2,2,2,2,2,2,3,6,5,5,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,6,7,6,5,6,6,6,4,6,6,6,4,7,7,7,4,6,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"217",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,3,1,NA,NA,NA,1
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,7,1,1,7,7,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"219",2,2,1,3,4,4,3,4,3,3,2,3,3,3,2,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,2,NA,NA,NA,1
"220",2,2,1,3,5,5,1,6,3,2,1,4,6,6,1,5,2,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,2,NA,NA,NA,1
"221",3,3,2,2,3,3,2,3,2,3,2,2,2,4,2,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,2,NA,NA,NA,1
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,2,1,4,NA,NA,NA,NA,NA,NA,1,1,1,0
"223",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,NA,NA,NA,1
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,5,5,3,4,2,2,2,2,2,2,2,2,4,5,4,NA,NA,NA,NA,NA,NA,3,2,4,0
"225",6,2,2,6,6,2,2,6,6,2,2,6,6,2,4,6,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,NA,NA,NA,1
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,6,5,5,3,4,4,5,2,6,6,6,5,6,5,5,4,6,2,2,1,NA,NA,NA,NA,NA,NA,1,3,4,0
"227",1,1,1,1,7,7,7,7,7,7,7,7,7,4,4,4,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,3,3,3,NA,NA,NA,1
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,5,5,4,5,3,3,3,3,5,5,4,5,5,5,5,5,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"229",3,3,3,4,2,3,3,4,2,2,3,4,2,3,3,4,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,NA,NA,NA,1
"230",4,3,2,4,5,3,3,4,2,2,1,3,3,2,1,4,5,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,4,3,NA,NA,NA,1
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,6,5,5,3,3,2,2,3,2,2,2,1,6,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,3,2,2,0
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,4,6,1,2,4,2,2,3,2,6,1,3,3,6,5,6,6,3,5,2,NA,NA,NA,NA,NA,NA,1,1,6,0
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,6,5,4,3,6,7,3,3,6,6,3,3,3,2,4,5,2,4,3,2,NA,NA,NA,NA,NA,NA,2,3,3,0
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,3,2,2,4,3,2,3,3,2,2,2,6,6,4,6,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,0
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"237",4,4,7,2,4,4,6,3,5,3,4,1,3,4,5,4,5,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,3,5,NA,NA,NA,1
"238",7,7,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,1,1,1,NA,NA,NA,1
"239",1,4,1,1,3,2,2,4,1,4,1,1,2,5,1,3,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,1,NA,NA,NA,1
"240",1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,3,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,NA,NA,NA,1
"241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,7,7,4,4,7,7,4,4,7,7,4,4,7,7,4,4,7,6,7,7,NA,NA,NA,NA,NA,NA,1,1,1,0
"242",2,5,2,3,2,6,3,3,1,5,1,3,2,5,2,3,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,4,NA,NA,NA,1
"243",2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,2,NA,NA,NA,1
"244",4,2,3,5,4,2,3,5,4,2,3,5,4,2,3,5,4,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,3,2,NA,NA,NA,1
"245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,2,1,1,NA,NA,NA,NA,NA,NA,1,1,4,0
"246",3,3,4,4,4,4,4,4,3,3,3,3,4,5,4,5,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,2,NA,NA,NA,1
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,6,7,4,4,6,7,4,4,6,7,4,4,6,7,4,4,6,3,4,5,NA,NA,NA,NA,NA,NA,2,2,2,0
"249",4,4,4,4,4,4,4,4,5,2,4,4,4,2,3,3,6,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,2,5,3,NA,NA,NA,1
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,NA,NA,NA,NA,NA,NA,2,6,3,0
"251",4,2,3,7,4,2,3,7,4,3,4,7,4,3,3,7,4,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,6,6,1,NA,NA,NA,1
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,6,2,6,2,6,3,6,3,6,3,5,4,5,2,6,2,6,5,3,5,NA,NA,NA,NA,NA,NA,5,3,5,0
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,NA,NA,NA,NA,NA,NA,1,3,1,0
"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,4,6,1,2,4,7,2,2,4,6,1,2,4,6,1,2,4,6,2,6,NA,NA,NA,NA,NA,NA,1,2,4,0
"256",5,3,4,6,5,5,4,6,5,5,5,6,5,5,5,6,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,2,NA,NA,NA,1
"257",6,6,2,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,2,NA,NA,NA,1
"258",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
"259",5,3,3,5,5,3,4,4,3,3,3,3,5,3,3,4,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,2,NA,NA,NA,1
"260",1,1,3,5,1,2,1,2,3,6,3,3,1,3,1,1,2,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,5,NA,NA,NA,1
"261",1,3,1,2,4,6,4,4,1,2,1,2,2,3,1,3,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,1,NA,NA,NA,1
"262",2,3,2,4,6,6,2,6,2,3,2,4,2,3,2,4,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,2,2,2,NA,NA,NA,1
"263",6,4,4,4,6,4,4,4,6,4,4,4,6,4,4,5,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,4,4,NA,NA,NA,1
"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,1,1,2,3,1,1,1,3,1,1,1,3,1,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,2,2,1,0
"265",6,3,2,6,6,3,2,6,6,3,2,6,6,3,3,6,6,3,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,2,NA,NA,NA,1
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,4,3,4,0
"267",2,4,3,5,1,6,5,4,4,4,4,4,5,4,3,4,3,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,4,4,4,NA,NA,NA,1
"268",5,2,3,2,6,3,3,3,5,2,1,1,6,3,2,3,5,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,NA,NA,NA,1
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,2,1,3,2,3,1,2,5,3,5,4,1,1,2,6,3,3,3,NA,NA,NA,NA,NA,NA,1,1,3,0
"270",3,6,3,5,6,2,4,2,4,5,2,3,6,5,5,2,3,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,2,3,3,NA,NA,NA,1
"271",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,1
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"273",4,4,4,4,2,3,2,3,4,6,2,4,5,5,2,6,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,5,2,NA,NA,NA,1
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,0
"275",2,2,2,2,4,4,3,4,2,2,2,2,2,3,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,5,4,3,NA,NA,NA,1
