"","R1_1","R1_2","R1_3","R1_4","R2_1","R2_2","R2_3","R2_4","R3_1","R3_2","R3_3","R3_4","R5_1","R5_2","R5_3","R5_4.","R6_1","R6_2","R6_3","R6_4","B1_1","B1_2","B1_3","B1_4","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B5_1","B5_2","B5_3","B5_4.","B6_1","B6_2","B6_3","B6_4","BlkRacismMini_8","BlkRacismMini_9","BlkRacismMini_10","NtvRacismMini_8","NtvRacismMini_9","NtvRacismMini_10","NtvContemporaryInvis_1","NtvContemporaryInvis_2","NtvContemporaryInvis_3","BlkContemporaryInvis_1","BlkContemporaryInvis_2","BlkContemporaryInvis_3","Target"
"276",5,4,5,5,5,4,5,5,4,4,4,5,5,4,5,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,4,2,NA,NA,NA,1
"277",1,2,1,1,4,4,1,3,4,4,1,3,4,4,1,3,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,NA,NA,NA,1
"278",2,5,1,4,1,2,1,1,2,6,1,3,2,3,1,2,2,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,1,NA,NA,NA,1
"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"280",2,2,2,2,7,7,7,7,2,2,2,3,6,6,6,6,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,1,1,1,NA,NA,NA,1
"281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,4,NA,NA,NA,NA,NA,NA,1,1,1,0
"282",1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,3,3,5,NA,NA,NA,1
"283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,5,2,3,3,3,1,2,2,4,1,2,3,4,1,2,2,4,1,1,1,NA,NA,NA,NA,NA,NA,1,3,1,0
"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,6,6,7,6,7,1,1,1,1,6,7,6,7,1,1,1,1,7,1,7,NA,NA,NA,NA,NA,NA,1,2,1,0
"285",2,2,2,5,4,2,2,6,5,5,3,6,6,6,3,6,3,3,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,5,5,2,NA,NA,NA,1
"286",5,3,3,4,6,3,4,4,5,3,4,5,5,2,4,5,5,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,2,2,NA,NA,NA,1
"287",5,5,5,5,4,4,4,4,7,7,7,7,5,5,6,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,7,7,6,3,NA,NA,NA,1
"288",3,1,1,3,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,6,6,6,2,NA,NA,NA,1
"289",5,5,2,6,5,5,3,5,5,5,3,5,5,5,4,5,5,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,3,1,NA,NA,NA,1
"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,5,2,2,1,2,1,1,1,1,3,3,2,3,6,6,4,6,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,7,6,7,5,3,7,4,1,4,7,3,3,6,5,3,1,4,1,1,1,NA,NA,NA,NA,NA,NA,3,2,2,0
"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"293",2,2,6,1,6,5,4,7,3,7,5,5,2,1,5,3,2,7,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,2,2,7,3,NA,NA,NA,1
"294",5,6,3,4,7,7,2,7,6,7,5,6,5,5,4,4,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,5,3,NA,NA,NA,1
"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,1,3,6,5,3,4,5,5,6,6,2,4,3,3,3,5,2,5,4,4,NA,NA,NA,NA,NA,NA,5,3,6,0
"296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,6,NA,NA,NA,NA,NA,NA,1,3,3,0
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,6,5,3,2,3,6,6,4,6,5,3,3,3,6,6,4,6,6,6,6,NA,NA,NA,NA,NA,NA,2,2,2,0
"299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,3,7,3,3,3,6,4,2,4,6,2,2,3,7,4,3,4,3,4,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,2,2,2,0
"301",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,2,1,NA,NA,NA,1
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,NA,NA,NA,NA,NA,NA,4,4,4,0
"303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,2,0
"304",5,6,6,6,5,6,5,5,6,5,5,6,6,6,5,6,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,3,4,3,NA,NA,NA,1
"305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,7,2,5,1,6,3,6,2,6,2,4,2,5,2,4,2,3,5,NA,NA,NA,NA,NA,NA,4,4,5,0
"306",5,2,5,2,6,3,6,3,5,2,5,2,5,2,5,6,6,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,6,NA,NA,NA,1
"307",6,6,1,7,6,6,4,4,3,3,1,3,3,3,1,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,3,3,1,NA,NA,NA,1
"308",1,1,1,1,2,2,2,3,2,1,3,2,2,2,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,NA,NA,NA,1
"309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,6,5,3,3,5,6,3,2,6,5,3,3,5,5,3,3,5,2,5,5,NA,NA,NA,NA,NA,NA,5,3,5,0
"310",4,3,3,7,5,5,4,7,6,6,4,7,5,5,4,7,3,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,4,3,2,NA,NA,NA,1
"311",2,2,2,2,3,3,3,3,3,3,3,3,4,3,1,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,6,3,2,NA,NA,NA,1
"312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,4,4,4,4,4,4,5,4,4,6,4,4,4,4,4,4,4,3,4,3,NA,NA,NA,NA,NA,NA,1,3,1,0
"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,3,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"314",5,2,7,1,3,1,6,1,5,2,7,2,5,2,6,1,4,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,7,6,1,6,NA,NA,NA,1
"315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"316",1,1,1,1,5,3,7,7,4,4,4,4,4,4,4,4,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,4,NA,NA,NA,1
"317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,2,2,1,0
"318",7,5,4,7,3,3,2,6,6,5,2,6,6,4,4,6,7,6,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,2,2,2,NA,NA,NA,1
"319",1,2,2,3,2,2,2,2,2,2,2,6,2,2,6,2,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,5,2,NA,NA,NA,1
"320",3,6,2,5,2,5,2,6,2,5,2,6,2,6,3,6,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,6,3,NA,NA,NA,1
"321",7,3,3,7,7,2,2,6,7,4,4,7,7,4,4,7,7,4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,6,4,NA,NA,NA,1
"322",3,3,4,6,6,4,4,6,3,4,4,6,4,3,4,6,4,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,4,4,4,NA,NA,NA,1
"323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"324",4,3,3,5,5,5,4,5,4,3,4,5,4,3,4,5,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,NA,NA,NA,1
"325",5,6,3,3,7,5,5,5,1,1,1,2,7,5,5,5,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,1,2,2,NA,NA,NA,1
"326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,7,4,1,4,7,4,1,4,7,4,2,3,7,4,1,4,7,7,4,6,NA,NA,NA,NA,NA,NA,1,3,1,0
"327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,NA,NA,NA,1
"328",2,2,1,2,4,4,3,4,2,3,1,2,2,2,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,3,2,NA,NA,NA,1
"329",7,7,3,7,7,7,5,7,7,7,3,7,7,7,5,7,7,6,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,1,1,1,NA,NA,NA,1
"330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6,3,4,3,1,1,1,NA,NA,NA,NA,NA,NA,2,2,2,0
"332",4,3,5,4,5,3,5,3,6,3,6,3,6,3,5,4,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,4,4,NA,NA,NA,1
"333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,1,1,1,6,1,1,2,6,1,1,1,6,1,1,1,6,2,2,2,NA,NA,NA,NA,NA,NA,2,1,2,0
"334",7,6,4,7,5,6,3,7,7,7,4,7,7,7,4,7,7,6,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,6,6,2,NA,NA,NA,1
"335",3,3,2,5,7,6,5,6,4,4,3,7,5,6,5,7,5,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,4,3,NA,NA,NA,1
"336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,2,2,4,0
"337",1,2,1,2,1,4,1,2,1,3,1,1,1,3,1,2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,1,NA,NA,NA,1
"338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,2,2,2,2,4,4,3,4,2,2,2,2,1,1,1,1,3,3,5,NA,NA,NA,NA,NA,NA,1,2,1,0
"339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,1,2,1,0
"340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,2,2,2,2,2,2,2,2,5,6,5,6,2,2,1,2,4,4,4,NA,NA,NA,NA,NA,NA,5,5,3,0
"341",7,6,4,7,7,5,4,7,7,6,4,7,7,5,4,7,7,6,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,3,NA,NA,NA,1
"342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,3,7,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,0
"343",3,3,2,3,3,3,3,3,6,3,4,4,3,3,3,3,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,5,5,2,NA,NA,NA,1
"344",2,2,4,2,2,2,4,2,4,4,4,4,2,4,4,6,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,2,NA,NA,NA,1
"345",2,4,2,2,3,4,2,3,2,4,1,2,2,4,1,2,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,1,NA,NA,NA,1
"346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,3,1,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,2,2,2,0
"347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,2,2,3,3,2,2,3,3,2,2,2,3,2,2,3,4,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"348",2,3,2,2,6,6,6,6,3,4,2,5,3,3,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,3,NA,NA,NA,1
"349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"351",5,6,3,6,2,3,6,2,6,6,6,7,3,1,2,1,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,7,6,NA,NA,NA,1
"352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"353",2,3,2,2,3,5,2,2,2,5,2,2,5,2,4,5,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,6,5,4,NA,NA,NA,1
"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,3,NA,NA,NA,NA,NA,NA,2,2,4,0
"355",1,5,1,1,1,3,1,1,2,5,1,1,2,6,2,2,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,NA,NA,NA,1
"356",1,4,1,2,1,3,1,4,1,6,1,3,1,4,1,3,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,3,1,NA,NA,NA,1
"357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0
"358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,6,7,7,6,7,7,7,6,7,7,7,5,6,7,5,2,1,4,5,5,1,NA,NA,NA,NA,NA,NA,1,3,1,0
"359",6,4,3,4,4,3,3,4,6,3,3,4,6,4,3,4,7,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,1,NA,NA,NA,1
"360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,6,NA,NA,NA,NA,NA,NA,1,1,1,0
"361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,4,5,2,5,1,1,2,2,3,2,4,4,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,1,1,2,0
"362",2,3,2,4,3,3,2,4,2,3,2,4,2,3,1,4,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,2,5,1,NA,NA,NA,1
"363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,1,1,1,6,1,1,1,5,1,1,1,6,1,1,1,6,4,2,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"364",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,5,7,1,NA,NA,NA,1
"365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,0
"366",2,5,1,1,1,5,1,1,2,5,1,2,1,1,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,2,NA,NA,NA,1
"367",6,6,4,4,5,3,3,3,5,5,6,4,7,7,7,4,6,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,6,1,NA,NA,NA,1
"368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,5,3,6,3,6,4,2,2,3,3,4,5,4,3,4,5,4,3,4,4,NA,NA,NA,NA,NA,NA,2,7,3,0
